root,meaning
"1. dʰā̆bʰ-, nasalized dʰamb(ʰ)-",to be speechless
"1. dʰā̆bʰ-, nasalized dʰamb(ʰ)-",astonished; to dab
"1. dʰā̆bʰ-, nasalized dʰamb(ʰ)-",be touched
"1. dʰā̆bʰ-, nasalized dʰamb(ʰ)-",affected
2. dʰabʰ-,to fix
2. dʰabʰ-,suit; proper
dʰā̆l-,to bloom
dʰā̆l-,be green
"dʰanu-, or dʰonu-",(type of tree)
dʰau-,to press
dʰau-,strangle
"1. dʰē-, reduplicated dʰē-dʰ(ē)-",older family member (nursery word)
2. dʰē-,to do
2. dʰē-,put
2. dʰē-,place
2. dʰē-,set
"3. dʰē-, dʰə-",to disappear
"3. dʰē-, dʰə-",pass away
dʰeb-,fat
dʰeb-,thick
dʰeb-,heavy
"dʰebʰ-, dʰebʰ-eu-",to harm
"dʰebʰ-, dʰebʰ-eu-",injure
dʰegʷʰ-,to burn
"dʰē(i)-, also dʰ-ei-?",to suck
"dʰē(i)-, also dʰ-ei-?",suckle
dʰei̯ə- : dʰi̯ā- : dʰī-,to look
dʰei̯ə- : dʰi̯ā- : dʰī-,see
dʰei̯ə- : dʰi̯ā- : dʰī-,show
dʰēigʷ- : dʰōigʷ- : dʰīgʷ-,to dig
dʰēigʷ- : dʰōigʷ- : dʰīgʷ-,plant
dʰēigʷ- : dʰōigʷ- : dʰīgʷ-,stab
dʰēigʷ- : dʰōigʷ- : dʰīgʷ-,stick
dʰeiǵʰ-,to build
dʰeiǵʰ-,knead clay
"1. dʰel-, dʰolo-",curve; dell
"1. dʰel-, dʰolo-",hollow
2. dʰel-,to light; shining
3. dʰel-,to tremble
dʰelbʰ-,to dig
dʰelbʰ-,delve
dʰelbʰ-,bury
dʰelg-,to stab
dʰelg-,stick; needle
"dʰelgʰ-, dʰelg-",to hit
"dʰem-, dʰemə-",to blow
"dʰem-, dʰemə-",fly about like dust
"dʰembʰ-, dʰm̥bʰ-",to dig
1. dʰen-,to flow
1. dʰen-,run
2. dʰen-,flat of hand
2. dʰen-,surface of land
2. dʰen-,etc.
3. dʰen-,to hit
3. dʰen-,ding
3. dʰen-,push
3. dʰen-,thrust
1. dʰengʰ-,to press
1. dʰengʰ-,cover
2. dʰengʰ-,to get
2. dʰengʰ-,grip
2. dʰengʰ-,reach
"1. dʰer-, dʰerə-",dirt
"1. dʰer-, dʰerə-",dreg
"1. dʰer-, dʰerə-",some type of deposit
"2. dʰer-, dʰerə-",to hold
"2. dʰer-, dʰerə-",support
"3. dʰer-, dʰereu-, dʰrē̆n-",(onomatopoeic: to drone
"3. dʰer-, dʰereu-, dʰrē̆n-",growl
"3. dʰer-, dʰereu-, dʰrē̆n-",purr
"3. dʰer-, dʰereu-, dʰrē̆n-",etc.)
4. dʰer- : dʰor- : dʰ<sub>e</sub>r-,to jump (at)
"5. dʰer-, dʰrei-d-",to defecate; dirt
dʰerāgʰ-,to drag
dʰerāgʰ-,pull
"dʰerbʰ-, dʰerəbʰ-?",to work
dʰerebʰ-,to harden; coagulated
dʰeregʰ-,bushy plants
"dʰereǵʰ-, dʰr̥ǵʰ-nā-",to turn
"dʰereǵʰ-, dʰr̥ǵʰ-nā-",wind
dʰers-,to dare
dʰers-,be bold
"dʰēs-, dʰəs-",(used in religious terms)
1. dʰeu-,to flow
1. dʰeu-,run
"2. dʰeu-, dʰu̯-ēi-",to die
"2. dʰeu-, dʰu̯-ēi-",faint
"2. dʰeu-, dʰu̯-ēi-",vanish
3. dʰeu-,to shine brightly
"4. dʰeu-, dʰeu̯ə-, presumably dʰu̯ē-, compare suffixes dʰu̯ē-k-, dʰu̯ē̆-s-",to blow
"4. dʰeu-, dʰeu̯ə-, presumably dʰu̯ē-, compare suffixes dʰu̯ē-k-, dʰu̯ē̆-s-",dissipate
"4. dʰeu-, dʰeu̯ə-, presumably dʰu̯ē-, compare suffixes dʰu̯ē-k-, dʰu̯ē̆-s-",fly about like dust
"4. dʰeu-, dʰeu̯ə-, presumably dʰu̯ē-, compare suffixes dʰu̯ē-k-, dʰu̯ē̆-s-",etc.
"dʰeu-b-, dʰeu-p-",deep
"dʰeu-b-, dʰeu-p-",hollow
"dʰeubʰ-, dʰubʰ-",peg
"dʰeubʰ-, dʰubʰ-",wedge
"dʰeu̯es-, dʰu̯ē̆s-, dʰeus-, dʰū̆s-",to blow
"dʰeu̯es-, dʰu̯ē̆s-, dʰeus-, dʰū̆s-",dissipate
"dʰeu̯es-, dʰu̯ē̆s-, dʰeus-, dʰū̆s-",fly about like dust
"dʰeu̯es-, dʰu̯ē̆s-, dʰeus-, dʰū̆s-",etc.
dʰeugʰ-,to milk
dʰeugʰ-,press
dʰeugʰ-,touch
"dʰlas-, or dʰels- : dʰl̥s-",to press
"dʰlas-, or dʰels- : dʰl̥s-",squeeze; squash?
dʰl̥gʰ-,debt
dʰl̥gʰ-,guilt
dʰl̥gʰ-,duty
dʰō-,to sharpen
dʰō[u]- : dʰū-,rope?
dʰrebʰ-,to drub
dʰrebʰ-,crush
dʰrebʰ-,grind to pieces
dʰreǵ-,to pull
1. dʰregʰ-,to run
2. dʰregʰ-,to hurt
2. dʰregʰ-,torment
dʰreibʰ-,to drive
dʰreibʰ-,push
dʰreibʰ-,thrust
dʰreu-,to grind
dʰreu-,crumble
1. dʰreugʰ-,to shake
1. dʰreugʰ-,tremble
2. dʰreugʰ-,to harm
2. dʰreugʰ-,deceive
"dʰrigʰ-, or dʰreikʰ-",hair
"dʰrigʰ-, or dʰreikʰ-",bristle
dʰrono-,multicolored?
dʰug(ʰ)əter-,daughter
"dʰu̯en-, dʰun-",to hum
"dʰu̯en-, dʰun-",drone
"dʰu̯er-, dʰu̯erə-",to harm by trickery/deception
"dʰu̯ē̆r-, dʰu̯ō̆r-, dʰur-, dʰu̯r̥-",door
dʰu̯ergʰ- : drugʰ-,crippled
dʰu̯ergʰ- : drugʰ-,dwarf-like
dʰu̯ergʰ- : drugʰ-,low in stature
"1. ē̆, ō̆",(particle: he
"1. ē̆, ō̆",this
"1. ē̆, ō̆",etc.)
"2. ē, ō",oh (vocative interjection)
"3. e-, ei-, i-, fem. ī-",(demonstrative particle: one
"3. e-, ei-, i-, fem. ī-",this
"3. e-, ei-, i-, fem. ī-",etc.)
ebʰi? : obʰi : bʰi,from
ebʰi? : obʰi : bʰi,around
ebʰi? : obʰi : bʰi,(up) to
ebʰi? : obʰi : bʰi,etc.
ed-,to eat
1. edʰ-,tip
1. edʰ-,point
2. edʰ-,fence of stakes
eg-,lack (of something)
"ēǵ-, ōǵ-, əǵ-",to say
"ēǵ-, ōǵ-, əǵ-",speak
"eǵ-, eǵ(ʰ)om, eǵō",ego
"eǵ-, eǵ(ʰ)om, eǵō",I (pronoun)
eǵʰero-,(inland) lake
eǵʰi-,hedgehog
"eǵʰs, eǵʰz",from
"eǵʰs, eǵʰz",out of
"eǵʰs, eǵʰz",ex-
egnis : ognis,fire
"eʰem, eʰeu, eʰo",aha! oho! (exclamation)
1. ei-,to go
1. ei-,exit
2. ē̆i,O (vocative particle)
3. ei-,bright; reddish
4. ei- : oi-,pole
4. ei- : oi-,stake
"eibʰ- : oibʰ-, i̯ebʰ-",to copulate
"eig-, oig-",to lament
"eig-, oig-",complain
ēik-,to own
ēik-,possess
ēik-,be capable
1. eis-,to move rapidly/violently
"2. ei-s-, ei-n-",ice
"2. ei-s-, ei-n-",frost
eḱu̯o-s,horse
"1. el-, ol-, <sub>e</sub>l-",red
"1. el-, ol-, <sub>e</sub>l-",brown
2. el-,to lie
2. el-,recline
3. el- : ol-,to rot
3. el- : ol-,be moldy
"4. el-, ol-",(a noise)
"5. el-, ol-",to destroy
"6. el-, elə- : lā-, el-eu-(dʰ-)",to go
"6. el-, elə- : lā-, el-eu-(dʰ-)",move
"6. el-, elə- : lā-, el-eu-(dʰ-)",drive
"7. el-, elə-, witʰ k-suffix elk-, elək-",hungry; bad?
"8. el-, elē̆i-, lē̆i-, olī̆nā",to bend; elbow
ēl-,line
ēl-,strip
ēlā,awl
ēlā,bodkin
elg-,poor
elg-,needy
elkos-,boil
elkos-,abscess
em-,to take
"embʰi-, empi-",bee
"embʰi-, empi-",gnat
"embʰi-, empi-",mosquito
1. en,in
2. en-,year
ēn,behold! look here!
"1. enebʰ-, embʰ-, ombʰ-, nō̆bʰ-, nēbʰ-?, m̥bʰ-",navel
"2. enebʰ- : nebʰ-, embʰ-, m̥bʰ-",wet
"2. enebʰ- : nebʰ-, embʰ-, m̥bʰ-",damp; cloud
"2. enebʰ- : nebʰ-, embʰ-, m̥bʰ-",nimbus; water
"eneḱ-, neḱ-, enḱ-, n̥ḱ-",to reach
"eneḱ-, neḱ-, enḱ-, n̥ḱ-",obtain
"ē̆neu, ē̆nu",without
"e-neu̯en, neu̯n̥, enu̯n̥",nine
"engʷ-, n̥gʷḗn",bump
"engʷ-, n̥gʷḗn",swelling
"eno-, possibly e-no- : ono- : no- : -ne-",that
"en(o)mn̥-, (o)nomn̥, nōmn̥",name
"enos-, or onos-",onus
"enos-, or onos-",burden
"enq-, onq-",to sigh
"enq-, onq-",groan
"ent-, better ant-?",to weave
epero-,wild boar
"epi, opi, pi",at
"epi, opi, pi",near
"epi, opi, pi",epi-
ēpi-,comrade
ēpi-,companion
"epop, opop",(onomatopoeic: call of hoopoe bird)
epʰ-,to cook
"1. er-, or-",erne
"1. er-, or-",eagle
"2. er-, eri-",goat
"2. er-, eri-",sheep
3. er- : or- : r-,to move
3. er- : or- : r-,set in motion
"4. er-, er-t-, er-u̯-",earth
"5. er-, erə-, tʰematic (e)r-ĕ-",loose
"5. er-, erə-, tʰematic (e)r-ĕ-",crumbly
"ereb-, orob-, rōb-",to drill
"ereb-, orob-, rōb-",make holes
"ereb-, orob-, rōb-",hollow out
"ē̆reb(ʰ)-, ō̆rob(ʰ)-",(dark color
"ē̆reb(ʰ)-, ō̆rob(ʰ)-",reddish brown)
ered-,to flow away; dampness
"eregʷ(ʰ)o-, erogʷ(ʰ)o-",pea
"eregʷ(ʰ)o-, erogʷ(ʰ)o-",legume
"1. erek-, er[e]gʰ-",tick
"1. erek-, er[e]gʰ-",mite
"1. erek-, er[e]gʰ-",louse
"2. er(e)k-, rek-, rok-",to tear
"2. er(e)k-, rek-, rok-",cut
"2. er(e)k-, rek-, rok-",split
1. eres-,to stab
1. eres-,pierce
"2. ere-s-, <sub>e</sub>rs-, r̥s-, <sub>e</sub>res-, and rē̆s-, rō̆s-",to flow
1. ereu-,to ask
1. ereu-,seek
2. ereu-,to tear
2. ereu-,rip up
"1. erə-, rē-, er(e)-",to row; oar
"2. erə-, rē-",to rest
"2. erə-, rē-",be still
"er(ə)d-, (<sub>e</sub>r(ə)d-), er(ə)dʰ-",high; to grow
ergʰ-,to shake
ergʰ-,tremble
ers- : orsos,tail; arse
ers- : orsos,rump
ers- : orsos,backside
es-,is
es-,to be
esu-s : su-,good
esu-s : su-,able
ē̆s-,to sit
"es-en-, os-en-",summer
"es-en-, os-en-",harvest time
"ē̆s-r̥(gʷ), genitive <sub>e</sub>s-n-és",blood
et(e)n-,seed
et(e)n-,grain
ēter-,intestines
eti,out
eti,beyond
eti,etc.
ētī-,eider (duck)
ēt-mén-,breath
ētro-,quick
ētro-,swift
ētro-,hurried
"1. eu-, euə- : u̯ā-, u̯ə-",to lack
"1. eu-, euə- : u̯ā-, u̯ə-",want; empty
"1. eu-, euə- : u̯ā-, u̯ə-",vacant
2. eu-,to dress
2. eu-,put on
3. eu-,to feel
4. eu-,(exclamation of joy)
"ēudʰ-, ōudʰ-, ūdʰ-",udder
euk-,to accustom oneself
euk-,be used to
eus-,to burn
eu̯egʷʰ-,to praise
eu̯egʷʰ-,worship
eu̯egʷʰ-,avow
eu̯egʷʰ-,speak formally
ǵā̆b-,to show
ǵā̆b-,watch out for
"gag-, gōg-",something round/lumpy
1. gal-,bald
1. gal-,callow
1. gal-,naked
2. gal-,to call
2. gal-,cry
"3. gal-, or gʰal-",to be able
gan(dʰ)-,vessel
gang-,to mock
gang-,scorn
ǵā̆r-,to call
ǵā̆r-,cry
garəǵ-,grim
garəǵ-,grievous
garəǵ-,dreadful
gāu-,to rejoice
gāu-,be glad
ǵebʰ-,bough
ǵebʰ-,branch
ǵebʰ-,stick
"ǵegʰ-, ǵogʰ-",branch
"ǵegʰ-, ǵogʰ-",bush; picket
gei-,to bend
gei-,turn
gē(i)- : gō(i)- : gī-,to cry
gē(i)- : gō(i)- : gī-,sing
"ǵēi-, ǵī-",to sprout
geid-,to stab; kittle
geid-,tickle
ǵeid-,to suck
geiǵ-,to bite
geiǵ-,prick
geiǵ-,stab
ǵeis-,gravel
1. gel-,to curl
1. gel-,form into ball; round
"2. gel-, and gʷel-",to glut
"2. gel-, and gʷel-",devour
"2. gel-, and gʷel-",envelop
3. gel(ə)-,cool
3. gel(ə)-,cold; to keel
3. gel(ə)-,freeze
"ǵel-, ǵelə-, ǵlē-, also *gelēi- : ǵ(e)ləi-",bright; to shine
"ǵel-, ǵelə-, ǵlē-, also *gelēi- : ǵ(e)ləi-",be joyful
gelebʰ-,to flay
gelebʰ-,scrape
ǵ(<sub>e</sub>)lōu̯-,sister-in-law
gem-,to grasp
gem-,grip; be full
"ǵembʰ-, ǵm̥bʰ-, ǵombʰos",to bite; tooth
ǵem(e)-,to marry
gen-,to pinch
gen-,press together
gen-,etc.
"1. ǵen-, ǵenə-, ǵnē-, ǵnō-",to bear
"1. ǵen-, ǵenə-, ǵnē-, ǵnō-",produce
"1. ǵen-, ǵenə-, ǵnē-, ǵnō-",generate
"2. ǵen-, ǵenə-, ǵnē-, ǵnō-",to ken
"2. ǵen-, ǵenə-, ǵnē-, ǵnō-",know
"2. ǵen-, ǵenə-, ǵnē-, ǵnō-",recognize
"genebʰ-, genobʰ-",pin
"genebʰ-, genobʰ-",wooden plug
"geng-, gong-",lump
gengʰ-,to turn
gengʰ-,weave
"1. ǵenu-, ǵneu-",knee
"1. ǵenu-, ǵneu-",joint
"2. ǵenu-, fem., ǵenədʰ- : ǵonədʰ-",chin
"2. ǵenu-, fem., ǵenədʰ- : ǵonədʰ-",jaw(bone)
"ǵep(ʰ)-, ǵebʰ-",jaw
"ǵep(ʰ)-, ǵebʰ-",jowl
"ǵep(ʰ)-, ǵebʰ-",mouth; to eat
"1. ger-, gere-",to cram
"1. ger-, gere-",collect
"1. ger-, gere-",put together
2. ger-,(onomatopoeic: to crow
2. ger-,shriek
2. ger-,etc.)
3. ger-,to turn
3. ger-,wind
3. ger-,curl
"4. ger-, grēi-",to grow
"4. ger-, grēi-",awaken
"ǵer-, ǵerə-, ǵrē-",to rub; rotten; to age
"ǵer-, ǵerə-, ǵrē-",ripen; grain
gerebʰ-,to carve
gerebʰ-,scratch; write
ǵers-,to bend
ǵers-,turn
"gēu-, gəu-, gū-",to bend
"gēu-, gəu-, gū-",curl; cup
"gēu-, gəu-, gū-",vessel
"ǵeu-, ǵeu̯ə-, also geu̯ə-",to hurry
"ǵeu-, ǵeu̯ə-, also geu̯ə-",promote
g(e)u-lo-,glowing coal
ǵeus-,to taste
ǵeus-,degust
ǵeus-,enjoy
"g(i̯)eu-, ǵ(i̯)eu-",to chew
"glag-, or glak-",milk
gleǵ-,soft
gleǵ-,tender
ǵlei-,to attack
ǵlei-,run at
gleubʰ-,to cut
gleubʰ-,cleave
gleubʰ-,pare
gleubʰ-,slice
glōgʰ- : gləgʰ-,barb
glōgʰ- : gləgʰ-,spike
2. gol-,bough
2. gol-,branch
2. gol-,twig
"gō̆u-, gou̯ə-, gū-",to call
"gō̆u-, gou̯ə-, gū-",cry
"gou̯ə-, or gau̯ə-? : gū-",hand; to grab
gras- : grō̆s-,to gnaw
gras- : grō̆s-,eat
gras- : grō̆s-,devour
grēb(ʰ)o-s : grōb(ʰ)o-s,beech or hornbeam (tree)
gred- : grod-,to grate
gred- : grod-,scratch
grem-,to be damp; to sink
1. greus-,to crush
1. greus-,crumble
1. greus-,crackle
2. greus-,to burn
2. greus-,smolder
greut-,to crush
greut-,press; curd
"grōd-, grəd-",hail?
gru-,to grunt (of pigs)
"gʰa gʰa, gʰe gʰe, gʰi gʰi",to cackle
"gʰa gʰa, gʰe gʰe, gʰi gʰi",gaggle (of geese)
gʰabʰ-,to take
gʰabʰ-,grab
gʰabʰ-,seize
"gʰabʰ(o)lo-, masc., gʰabʰ(o)lā fem.",branch
"gʰabʰ(o)lo-, masc., gʰabʰ(o)lā fem.",fork
"gʰaido-, or ǵʰaido-",goat
"gʰaido-, or ǵʰaido-",kid
gʰais-,to stick
gʰais-,be fixed to
"ǵʰaiso-, or ǵʰəiso- : ǵʰēiso-",dart; staff
"ǵʰaiso-, or ǵʰəiso- : ǵʰēiso-",stick
gʰait-ā,curly/wavy hair
"ǵʰal-, ǵʰal-ar-",flaw
"ǵʰal-, ǵʰal-ar-",defect; harm
ǵʰalg(ʰ)-,flexible twig
ǵʰan-,to yawn
ǵʰan-s-,goose
"1. ǵʰasto-, ǵʰazdʰo-",pole
"1. ǵʰasto-, ǵʰazdʰo-",rod
"1. ǵʰasto-, ǵʰazdʰo-",gad; twig
"ǵʰau-, ǵʰau̯ə-",to call
gʰau̯o-,false
"ǵʰðem-, ǵʰðom-, genitive-ablative ǵʰ(ð)m-és",earth
"ǵʰðem-, ǵʰðom-, genitive-ablative ǵʰ(ð)m-és",ground
"ǵʰðem-, ǵʰðom-, genitive-ablative ǵʰ(ð)m-és",soil
"ǵʰðem-, ǵʰðom-, genitive-ablative ǵʰ(ð)m-és",humus
"ǵʰði̯és, zero-grade ǵʰðis, simplified to ǵʰðés, ǵʰi̯és, ǵʰés",yesterday
"ǵʰðū-, or ǵʰi̯ū-?",fish
"ǵʰðū-, or ǵʰi̯ū-?",ichthyoid
"gʰe-, gʰo-",(enclitic (emphatic?) particle)
"1. ǵʰē-, ǵʰēi-",to lack
"1. ǵʰē-, ǵʰēi-",be empty; leave
"1. ǵʰē-, ǵʰēi-",go out
"2. ǵʰē- : gʰə-, and ǵʰēi- : ǵʰī-",to gape
"2. ǵʰē- : gʰə-, and ǵʰēi- : ǵʰī-",yawn
"gʰebʰ-el-, gʰebʰ-<sub>e</sub>l-, gʰebʰ-elo-",gable
"gʰebʰ-el-, gʰebʰ-<sub>e</sub>l-, gʰebʰ-elo-",head
gʰed-,to defecate; hole
gʰed-,opening
"gʰedʰ-, gʰodʰ-",to join
"gʰedʰ-, gʰodʰ-",unite
"gʰedʰ-, gʰodʰ-",gather
"gʰedʰ-, gʰodʰ-",make a bond
gʰegʰ-,to bend
gʰegʰ-,curve
ǵ(ʰ)eǵʰ-,ferret (or similar carnivorous mammal)
"1. ǵʰei-, ǵʰēi-",to goad
"1. ǵʰei-, ǵʰēi-",drive; to throw
"1. ǵʰei-, ǵʰēi-",wound
2. ǵʰei- : ǵʰi-,snow; winter
gʰeidʰ-,to desire
gʰeidʰ-,yearn for
gʰeiǵʰ-,to desire
gʰeiǵʰ-,yearn for
"gʰeis-, and ǵʰeiz-d-",shocked
"gʰeis-, and ǵʰeiz-d-",aghast
"gʰeis-, and ǵʰeiz-d-",confused
gʰel-,to yell
gʰel-,call
gʰel-,cry
"1. ǵʰel-, and gʰel-?, also as i-, u-, or n-stem; ǵʰelə-, ǵʰlē-, ǵʰlō-, ǵʰlə-",to shine
"1. ǵʰel-, and gʰel-?, also as i-, u-, or n-stem; ǵʰelə-, ǵʰlē-, ǵʰlō-, ǵʰlə-",glare
"1. ǵʰel-, and gʰel-?, also as i-, u-, or n-stem; ǵʰelə-, ǵʰlē-, ǵʰlō-, ǵʰlə-",glow; gold
"1. ǵʰel-, and gʰel-?, also as i-, u-, or n-stem; ǵʰelə-, ǵʰlē-, ǵʰlō-, ǵʰlə-",yellow
"1. ǵʰel-, and gʰel-?, also as i-, u-, or n-stem; ǵʰelə-, ǵʰlē-, ǵʰlō-, ǵʰlə-",bright color
2. ǵʰel-,to cut?
ǵʰēlā,wine?
gʰeldʰ-,to desire
gʰeldʰ-,wish for
gʰel(ē̆)ǵʰ-,(type of metal)
gʰeləd-,hail
gʰeləd-,ice
gʰelǵʰ-,gland
"gʰel-ond-, gʰol-n̥d-",stomach
"gʰel-ond-, gʰol-n̥d-",intestines
"gʰel-ōu-, gʰelū-",turtle
"gʰel-ōu-, gʰelū-",tortoise
"gʰel-tō, Germanic and gʰel-dʰō Slavic",to cost
"gʰel-tō, Germanic and gʰel-dʰō Slavic",pay
"gʰel-tō, Germanic and gʰel-dʰō Slavic",be worth
gʰelunā,jaw
gʰelunā,gill
gʰen-,to grind
gʰen-,crack open
gʰen-,gnaw to pieces
"gʰend-, and gʰed-",to get
"gʰend-, and gʰed-",grasp
"gʰend-, and gʰed-",seize
"gʰendʰ-, gʰ<sub>o</sub>ndʰ-",boil
"gʰendʰ-, gʰ<sub>o</sub>ndʰ-",abscess
ǵʰengʰ-,to step
ǵʰengʰ-,stride
ǵʰengʰ-,march
1. gʰer-,(onomatopoeic: to snarl
1. gʰer-,rattle
1. gʰer-,etc.)
2. gʰer-,to rub
2. gʰer-,stroke hard
"3. gʰer-, gʰrē- : gʰrō- : gʰrə-",to come out
"3. gʰer-, gʰrē- : gʰrō- : gʰrə-",jut out
1. ǵʰer-,to desire
1. ǵʰer-,yearn for
2. ǵʰer-,to gash
2. ǵʰer-,slit
2. ǵʰer-,scrape
2. ǵʰer-,scratch
"3. ǵʰer-, and ǵʰerə-, ǵʰrē-",to beam
"3. ǵʰer-, and ǵʰerə-, ǵʰrē-",shine
"3. ǵʰer-, and ǵʰerə-, ǵʰrē-",shimmer
4. ǵʰer-,to grab
4. ǵʰer-,grip
4. ǵʰer-,seize
"5. ǵʰer-, ǵʰor-nā",bowels
"6. ǵʰer-, ǵʰerə- : ǵʰrē-?",short
"6. ǵʰer-, ǵʰerə- : ǵʰrē-?",small
"ǵʰerdʰ-, and gʰerdʰ-",to gird
"ǵʰerdʰ-, and gʰerdʰ-",enclose
"ǵʰerdʰ-, and gʰerdʰ-",encompass
"1. gʰers-, gʰres-",horror
"1. gʰers-, gʰres-",disgust
"1. gʰers-, gʰres-",revulsion
2. gʰers-,(type of weed
2. gʰers-,e.g. goat's foot)
ǵʰers-,to stiffen
ǵʰers-,bristle
ǵʰers-,stand out
gʰerto-,milk
gʰerto-,butter
"ǵʰerzd(ʰ), genitive ǵʰr̥zd(ʰ)-es, ǵʰerzdā",barley
"ǵʰerzd(ʰ), genitive ǵʰr̥zd(ʰ)-es, ǵʰerzdā",prickly grain
ǵʰéslo-,thousand
ǵʰéslo-,chiliad
"ǵʰesor-, ǵʰesr-",hand
ǵʰesto-,arm
ǵʰesto-,hand
1. ǵʰeu-,to gush
1. ǵʰeu-,pour
1. ǵʰeu-,found
"2. ǵʰeu-, ǵʰeu-d-",to die
"2. ǵʰeu-, ǵʰeu-d-",disappear
"2. ǵʰeu-, ǵʰeu-d-",get away
ǵʰēu- : ǵʰō(u)- : ǵʰəu-,to gape
ǵʰēu- : ǵʰō(u)- : ǵʰəu-,yawn
gʰeub(ʰ)-,to bend
gʰeub(ʰ)-,move
"gʰeuǵʰ-, gʰū̆ǵʰ-",to conceal
"gʰeuǵʰ-, gʰū̆ǵʰ-",do secretly
"gʰeu̯ei̯ā, ǵʰeu̯ei̯ā",pit
"gʰeu̯ei̯ā, ǵʰeu̯ei̯ā",hollow
ǵʰlād-,to call
ǵʰlād-,sound
gʰleu-,to be happy
gʰleu-,joyful
gʰleu-,gleeful
ǵʰō,behind; towards
gʰoilo-s,foaming
gʰoilo-s,turbulent
gʰoilo-s,frothing up
gʰom-,stall
gʰō̆s-,to eat
gʰosti-s,guest
gʰosti-s,stranger
gʰou̯(ē)-,to gawk
gʰou̯(ē)-,be aware of
gʰou̯(ē)-,pay attention to
gʰou-ro-s,frightened
gʰou-ro-s,frightening
gʰous-,to sound
gʰous-,hear
gʰrē- : gʰrō- : gʰrə-,to grow
gʰrē- : gʰrō- : gʰrə-,become green
"1. gʰrebʰ-, gʰerbʰ-, root extension gʰrebʰā-",to grab
"1. gʰrebʰ-, gʰerbʰ-, root extension gʰrebʰā-",grasp
2. gʰrebʰ-,to dig
2. gʰrebʰ-,grub
2. gʰrebʰ-,grave
2. gʰrebʰ-,scratch
gʰredʰ-,to stride
gʰredʰ-,march
"gʰrēi- : gʰrəi- : gʰrī-, and lit. gʰrei-",to smear over
gʰreib-,to grip
gʰreib-,grab
1. gʰrem-,to rub
1. gʰrem-,scratch
2. gʰrem-,to grumble; resound
2. gʰrem-,thunder
gʰren-,to grind
gʰren-,rub
gʰren-,stroke hard
gʰrendʰ-,beam
1. gʰrēu- : gʰrəu- : gʰrū-,to collapse
1. gʰrēu- : gʰrəu- : gʰrū-,fall down
2. gʰrēu- : gʰrəu- : gʰrū-,to crush
2. gʰrēu- : gʰrəu- : gʰrū-,rub sharply
gʰroud-,(round body part
gʰroud-,e.g. cheek
gʰroud-,bosom)
"gʷā-, gʷem-",to come
"gʷā-, gʷem-",go
gʷā̆dʰ-,to dive
gʷā̆dʰ-,sink
gʷā̆dʰ-,submerge
"1. gʷēbʰ-, or gʷābʰ-?, gʷəbʰ-",to plunge
"1. gʷēbʰ-, or gʷābʰ-?, gʷəbʰ-",dive in
2. gʷēb(ʰ)-,slimy; frog
gʷedʰ-,to hit
gʷedʰ-,push; harm
gʷedʰ-,injure
1. gʷei-,to cry
1. gʷei-,weep
1. gʷei-,complain
"3. gʷei̯-, and gʷei̯ə-",to live
"3. gʷei̯-, and gʷei̯ə-",survive
gʷeid(ʰ)-,mud
gʷei̯ə-,to prevail
gʷei̯ə-,overpower
gʷei̯ə-,be mighty
1. gʷel-,to stab; pain
1. gʷel-,death
1. gʷel-,quell
"2. gʷel-, gʷelə-, gʷlē-",to flow
"2. gʷel-, gʷelə-, gʷlē-",drip down; throw
"3. gʷel-, gʷ<sub>e</sub>l-, gʷlā-",acorn
"3. gʷel-, gʷ<sub>e</sub>l-, gʷlā-",valonia; oak?
gʷelbʰ-,womb
gʷelbʰ-,uterus; young animal
gʷē̆nā,wife
gʷē̆nā,queen
gʷē̆nā,woman
"1. gʷer-, gʷerə-",to swallow; craw
"1. gʷer-, gʷerə-",gorge
"1. gʷer-, gʷerə-",throat
"2. gʷer-, gʷerə-, gʷerəu-, gʷerī-",grave
"2. gʷer-, gʷerə-, gʷerəu-, gʷerī-",heavy
"3. gʷer-, gʷor-",mountain
4. gʷer(ə)-,to praise
4. gʷer(ə)-,congratulate
4. gʷer(ə)-,raise one's voice
"ǵu̯er-, ǵu̯erə-",to burn
"ǵu̯er-, ǵu̯erə-",be hot
"gʷes-, zgʷes-",to quench
"gʷes-, zgʷes-",extinguish
"gu̯es-, gȗos-, gus-, extended gu̯oz-do-",leaves
"gu̯es-, gȗos-, gus-, extended gu̯oz-do-",branches
1. gʷet-,resin
2. gʷet-,to speak
2. gʷet-,talk
gu̯et-,swelling
gʷou-,cow
gʷou-,ox
gʷou-,gaur
"gʷōu-, gʷū-",dirt
"gʷōu-, gʷū-",dung
"gu̯ozd(ʰ)o-, gu̯ozd(ʰ)i-",nail
"gu̯ozd(ʰ)o-, gu̯ozd(ʰ)i-",penis
gʷrebʰ-,young
gʷrebʰ-,embryo
gʷrendʰ-,to swell; breast
gʷretso-,big
gʷretso-,thick
gʷretso-,gross
gʷʰðei(ə)-,to destroy
gʷʰðei(ə)-,perish
gʷʰðer-,to flow
gʷʰðer-,run
gʷʰedʰ-,to ask
gʷʰedʰ-,beg
gʷʰedʰ-,wish for
"*gʷʰēi- : gʷʰəi-, gʷʰəi-d- : gʷʰīd-",bright
"*gʷʰēi- : gʷʰəi-, gʷʰəi-d- : gʷʰīd-",shining
gʷʰeiə- : gʷʰī-,vein
gʷʰeiə- : gʷʰī-,sinew
